//联锁表-呼和浩特南站(2.5版本)
//序号|类型|按钮      |信号机      |道岔     |区段     |敌对信号
//列车
260    |LCJL|X11LA,SWFLA    |X11     |82,(118<120>),80-116<114>,84,166<168>,160-164<162>,150<152>-154,156-158,144-148<146>,88-90,92-94,(34),122-124                     |82DG,84-110DG,162-168DG,94/152WG,88-94DG,34DG,34/122WG,122DG,XW1LQ                     |D94,D88,D78,D76,D64,D56,D40,D30,SWF;
261    |LCJL|X11LA,SL2LA    |X11     |82,(118<120>),80-116<114>,84,166<168>,160-164<162>,150<152>-154,156-158,144-148<146>,88-90,92-94,(34),(122-124)                     |82DG,84-110DG,162-168DG,94/152WG,88-94DG,34DG,34/122WG,122DG,124DG,124/JF1WG                     |D94,D88,D78,D76,D64,D56,D40,D30,SL2;
262    |LCJL|X11LA,SEFLA    |X11     |82,(118<120>),(80-116<114>),58-60,160-164<162>,48-50,144-148<146>,172,92-94,88-90                     |82DG,80DG,60DG,160DG,50DG,144DG,144/172WG,172DG,90-92DG,VIIBG,84-110DG,XF1LQ                     |D94,D90,D74,BA8,D62,D58,D46,SEF;
263    |LCJL|X11LA,SLA    |X11     |82,(118<120>),(80-116<114>),(58-60),(56),(44-46),(24-26),126-130<128>,136-138,2-4,6-8                     |82DG,114-120DG,80DG,60DG,56-58DG,46DG,44DG,26/44WG,26DG,24-36DG,126-138DG,8/126WG,2-8DG,IIBG,84-110DG,160DG,48DG,S3JG                     |D94,D90,D34,D28,D22,D18,D14,D8,D4,S;
264    |LCJL|X11LA,SFLA    |X11     |82,(118<120>),(80-116<114>),(58-60),(56),(44-46),24-26,14-16,6-8,2-4                     |82DG,114-120DG,80DG,60DG,56-58DG,46DG,44DG,26/44WG,26DG,14DG,4/14WG,4-6DG,IBG,84-110DG,160DG,48DG,X1LQ                     |D94,D90,D34,D28,D22,BA6,D12,D6,D2,SF;
265    |LCJL|X11LA,D8A,SFLA    |X11     |82,(118<120>),(80-116<114>),(58-60),(56),(44-46),(24-26),126-130<128>,136-138,2-4,(6-8),2-4                     |82DG,80DG,60DG,56-58DG,46DG,44DG,26/44WG,26DG,24-36DG,126-138DG,84-110DG,160DG,48DG,2-8DG,4-6DG,IBG,X1LQ                     |D94,D90,D34,D28,D22,D18,D14,D8,D2,SF;
266    |LCJL|X11LA,SL6LA    |X11     |82,(118<120>),(80-116<114>),(58-60),(56),(44-46),(24-26),126-130<128>,(136-138),126-130<128>,(32)                     |82DG,80DG,60DG,56-58DG,46DG,44DG,26/44WG,26DG,24-36DG,126-138DG,128-136DG,32/136WG,32DG,84-110DG,160DG,48DG,32/H2WG                     |D94,D90,D34,D28,D22,D18,D20,D10,SL6;
267    |LCJL|X11LA,SHLA    |X11     |82,(118<120>),(80-116<114>),(58-60),(56),(44-46),(24-26),126-130<128>,(136-138),126-130<128>,(32),(H2-H1)                     |82DG,80DG,60DG,56-58DG,46DG,44DG,26/44WG,26DG,24-36DG,126-138DG,128-136DG,32/136WG,32DG,32/H2WG,H2DG,H1DG,84-110DG,160DG,48DG,YSHG                     |D94,D90,D34,D28,D22,D18,D20,D10,SL6,XZ6,SH;
268    |LCJL|X11LA,SWLA    |X11     |82,(118<120>),(80-116<114>),(58-60),(56),(44-46),(24-26),126-130<128>,(136-138),126-130<128>,(32),H2-H1                     |82DG,80DG,60DG,56-58DG,46DG,44DG,26/44WG,26DG,24-36DG,126-138DG,128-136DG,32/136WG,32DG,32/H2WG,H2DG,84-110DG,160DG,48DG,SW3JG                     |D94,D90,D34,D28,D22,D18,D20,D10,SL6,XZ6,SW;
269    |LCJL|XIXLA,D88A,SEFLA    |XIX     |118<120>,80-116<114>,84,166<168>,(160-164<162>),48-50,144-148<146>,172,92-94,88-90                     |,84-110DG,162-168DG,160DG,50DG,144DG,144/172WG,172DG,90-92DG,VIIBG,60DG,XF1LQ                     |D88,D74,BA8,D62,D58,D46,SEF;
270    |LCJL|XIXLA,D88A,SLA    |XIX     |118<120>,80-116<114>,84,166<168>,160-164<162>,150<152>-154,156-158,(144-148<146>),(172),(28-30),(14-16),6-8,(2-4),6-8                     |,84-110DG,162-168DG,144DG,144/172WG,172DG,30DG,28DG,16DG,14DG,4/14WG,4-6DG,2-8DG,IIBG,50DG,90-92DG,S3JG                     |D88,D78,D76,D62,D58,D54,D44,D42,D12,D6,D4,S;
271    |LCJL|XIXLA,D88A,SFLA    |XIX     |118<120>,80-116<114>,84,166<168>,160-164<162>,150<152>-154,156-158,(144-148<146>),(172),(28-30),(14-16),6-8,2-4                     |,84-110DG,162-168DG,144DG,144/172WG,172DG,30DG,28DG,16DG,14DG,4/14WG,4-6DG,IBG,50DG,90-92DG,X1LQ                     |D88,D78,D76,D62,D58,D54,D44,D42,D12,D6,D2,SF;
272    |LCJL|XIXLA,D18A,SFLA    |XIX     |118<120>,(80-116<114>),(58-60),(56),(44-46),(24-26),126-130<128>,136-138,2-4,(6-8),2-4                     |,80DG,60DG,56-58DG,46DG,44DG,26/44WG,26DG,24-36DG,84-110DG,160DG,48DG,126-138DG,8/126WG,2-8DG,4-6DG,IBG,X1LQ                     |D90,D34,D28,D22,D18,D14,D8,D2,SF;
273    |LCJL|XIXLA,BA10A,SLA    |XIX     |118<120>,(80-116<114>),(58-60),(56),44-46,48-50,28-30,(14-16),6-8,(2-4),6-8                     |,80DG,60DG,56-58DG,46DG,84-110DG,160DG,48DG,28/48WG,28DG,16DG,14DG,4/14WG,4-6DG,2-8DG,IIBG,S3JG                     |D90,D34,BA10,D66,D16,D44,D42,D12,D6,D4,S;
274    |LCJL|XIXLA,BA10A,SFLA    |XIX     |118<120>,(80-116<114>),(58-60),(56),44-46,48-50,28-30,(14-16),6-8,2-4                     |,80DG,60DG,56-58DG,46DG,84-110DG,160DG,48DG,28/48WG,28DG,16DG,14DG,4/14WG,4-6DG,IBG,X1LQ                     |D90,D34,BA10,D66,D16,D44,D42,D12,D6,D2,SF;
275    |LCJL|XIXLA,BA6A,SLA    |XIX     |118<120>,(80-116<114>),(58-60),(56),(44-46),24-26,14-16,6-8,(2-4),6-8                     |,80DG,60DG,56-58DG,46DG,44DG,26/44WG,84-110DG,160DG,48DG,14DG,4/14WG,4-6DG,2-8DG,IIBG,S3JG                     |D90,D34,D28,D22,BA6,D12,D6,D4,S;
276    |LCJL|XIXLA,D16A,SLA    |XIX     |118<120>,80-116<114>,84,166<168>,(160-164<162>),(48-50),28-30,(14-16),6-8,(2-4),6-8                     |,84-110DG,162-168DG,160DG,50DG,48DG,60DG,144DG,46DG,28DG,16DG,14DG,4/14WG,4-6DG,2-8DG,IIBG,S3JG                     |D88,D74,D66,D16,D44,D42,D12,D6,D4,S;
277    |LCJL|XIXLA,D16A,SFLA    |XIX     |118<120>,80-116<114>,84,166<168>,(160-164<162>),(48-50),28-30,(14-16),6-8,2-4                     |,84-110DG,162-168DG,160DG,50DG,48DG,60DG,144DG,46DG,28DG,16DG,14DG,4/14WG,4-6DG,IBG,X1LQ                     |D88,D74,D66,D16,D44,D42,D12,D6,D2,SF;
278    |LCJL|XIXLA,BA8A,SWFLA    |XIX     |118<120>,80-116<114>,84,166<168>,(160-164<162>),48-50,144-148<146>,172,92-94,(88-90),92-94,(34),122-124                     |,84-110DG,162-168DG,160DG,50DG,60DG,144DG,144/172WG,172DG,90-92DG,88-94DG,34DG,34/122WG,122DG,XW1LQ                     |D88,D74,BA8,D62,D58,D40,D30,SWF;
279    |LCJL|XIXLA,BA8A,SL2LA    |XIX     |118<120>,80-116<114>,84,166<168>,(160-164<162>),48-50,144-148<146>,172,92-94,(88-90),92-94,(34),(122-124)                     |,84-110DG,162-168DG,160DG,50DG,60DG,144DG,144/172WG,172DG,90-92DG,88-94DG,34DG,34/122WG,122DG,124DG,124/JF1WG                     |D88,D74,BA8,D62,D58,D40,D30,SL2;
280    |LCJL|XIXLA,BA8A,SEFLA    |XIX     |118<120>,80-116<114>,84,166<168>,(160-164<162>),48-50,144-148<146>,172,92-94,88-90                     |,84-110DG,162-168DG,160DG,50DG,60DG,144DG,144/172WG,172DG,90-92DG,VIIBG,XF1LQ                     |D88,D74,BA8,D62,D58,D46,SEF;
281    |LCJL|XIXLA,BA8A,SLA    |XIX     |118<120>,80-116<114>,84,166<168>,(160-164<162>),48-50,144-148<146>,(172),(28-30),(14-16),6-8,(2-4),6-8                     |,84-110DG,162-168DG,160DG,50DG,60DG,144DG,144/172WG,172DG,30DG,28DG,16DG,14DG,4/14WG,4-6DG,2-8DG,IIBG,90-92DG,S3JG                     |D88,D74,BA8,D62,D58,D54,D44,D42,D12,D6,D4,S;
282    |LCJL|XIXLA,BA8A,SFLA    |XIX     |118<120>,80-116<114>,84,166<168>,(160-164<162>),48-50,144-148<146>,(172),(28-30),(14-16),6-8,2-4                     |,84-110DG,162-168DG,160DG,50DG,60DG,144DG,144/172WG,172DG,30DG,28DG,16DG,14DG,4/14WG,4-6DG,IBG,90-92DG,X1LQ                     |D88,D74,BA8,D62,D58,D54,D44,D42,D12,D6,D2,SF;
283    |LCJL|XIXLA,D58A,SWFLA    |XIX     |118<120>,80-116<114>,84,166<168>,160-164<162>,150<152>-154,156-158,(144-148<146>),172,92-94,(88-90),92-94,(34),122-124                     |,84-110DG,162-168DG,144DG,50DG,172DG,90-92DG,88-94DG,34DG,34/122WG,122DG,XW1LQ                     |D88,D78,D76,D62,D58,D40,D30,SWF;
284    |LCJL|XIXLA,D58A,SL2LA    |XIX     |118<120>,80-116<114>,84,166<168>,160-164<162>,150<152>-154,156-158,(144-148<146>),172,92-94,(88-90),92-94,(34),(122-124)                     |,84-110DG,162-168DG,144DG,50DG,172DG,90-92DG,88-94DG,34DG,34/122WG,122DG,124DG,124/JF1WG                     |D88,D78,D76,D62,D58,D40,D30,SL2;
285    |LCJL|XIXLA,D58A,SEFLA    |XIX     |118<120>,80-116<114>,84,166<168>,160-164<162>,150<152>-154,156-158,(144-148<146>),172,92-94,88-90                     |,84-110DG,162-168DG,144DG,50DG,172DG,90-92DG,VIIBG,XF1LQ                     |D88,D78,D76,D62,D58,D46,SEF;
286    |LCJL|XIXLA,D58A,SLA    |XIX     |118<120>,80-116<114>,84,166<168>,160-164<162>,150<152>-154,156-158,(144-148<146>),(172),(28-30),(14-16),6-8,(2-4),6-8                     |,84-110DG,162-168DG,144DG,50DG,172DG,30DG,28DG,16DG,14DG,4/14WG,4-6DG,2-8DG,IIBG,90-92DG,S3JG                     |D88,D78,D76,D62,D58,D54,D44,D42,D12,D6,D4,S;
287    |LCJL|XIXLA,D58A,SFLA    |XIX     |118<120>,80-116<114>,84,166<168>,160-164<162>,150<152>-154,156-158,(144-148<146>),(172),(28-30),(14-16),6-8,2-4                     |,84-110DG,162-168DG,144DG,50DG,172DG,30DG,28DG,16DG,14DG,4/14WG,4-6DG,IBG,90-92DG,X1LQ                     |D88,D78,D76,D62,D58,D54,D44,D42,D12,D6,D2,SF;
288    |LCJL|XIXLA,SWFLA    |XIX     |118<120>,80-116<114>,84,166<168>,160-164<162>,150<152>-154,156-158,144-148<146>,88-90,92-94,(34),122-124                     |,84-110DG,162-168DG,94/152WG,88-94DG,34DG,34/122WG,122DG,XW1LQ                     |D88,D78,D76,D64,D56,D40,D30,SWF;
289    |LCJL|XIXLA,SL2LA    |XIX     |118<120>,80-116<114>,84,166<168>,160-164<162>,150<152>-154,156-158,144-148<146>,88-90,92-94,(34),(122-124)                     |,84-110DG,162-168DG,94/152WG,88-94DG,34DG,34/122WG,122DG,124DG,124/JF1WG                     |D88,D78,D76,D64,D56,D40,D30,SL2;
290    |LCJL|XIXLA,SEFLA    |XIX     |118<120>,(80-116<114>),58-60,160-164<162>,48-50,144-148<146>,172,92-94,88-90                     |,80DG,60DG,160DG,50DG,144DG,144/172WG,172DG,90-92DG,VIIBG,84-110DG,XF1LQ                     |D90,D74,BA8,D62,D58,D46,SEF;
291    |LCJL|XIXLA,SLA    |XIX     |118<120>,(80-116<114>),(58-60),(56),(44-46),(24-26),126-130<128>,136-138,2-4,6-8                     |,80DG,60DG,56-58DG,46DG,44DG,26/44WG,26DG,24-36DG,126-138DG,8/126WG,2-8DG,IIBG,84-110DG,160DG,48DG,S3JG                     |D90,D34,D28,D22,D18,D14,D8,D4,S;
292    |LCJL|XIXLA,SFLA    |XIX     |118<120>,(80-116<114>),(58-60),(56),(44-46),24-26,14-16,6-8,2-4                     |,80DG,60DG,56-58DG,46DG,44DG,26/44WG,26DG,14DG,4/14WG,4-6DG,IBG,84-110DG,160DG,48DG,X1LQ                     |D90,D34,D28,D22,BA6,D12,D6,D2,SF;
293    |LCJL|XIXLA,D8A,SFLA    |XIX     |118<120>,(80-116<114>),(58-60),(56),(44-46),(24-26),126-130<128>,136-138,2-4,(6-8),2-4                     |,80DG,60DG,56-58DG,46DG,44DG,26/44WG,26DG,24-36DG,126-138DG,84-110DG,160DG,48DG,2-8DG,4-6DG,IBG,X1LQ                     |D90,D34,D28,D22,D18,D14,D8,D2,SF;
294    |LCJL|XIXLA,SL6LA    |XIX     |118<120>,(80-116<114>),(58-60),(56),(44-46),(24-26),126-130<128>,(136-138),126-130<128>,(32)                     |,80DG,60DG,56-58DG,46DG,44DG,26/44WG,26DG,24-36DG,126-138DG,128-136DG,32/136WG,32DG,84-110DG,160DG,48DG,32/H2WG                     |D90,D34,D28,D22,D18,D20,D10,SL6;
295    |LCJL|XIXLA,SHLA    |XIX     |118<120>,(80-116<114>),(58-60),(56),(44-46),(24-26),126-130<128>,(136-138),126-130<128>,(32),(H2-H1)                     |,80DG,60DG,56-58DG,46DG,44DG,26/44WG,26DG,24-36DG,126-138DG,128-136DG,32/136WG,32DG,32/H2WG,H2DG,H1DG,84-110DG,160DG,48DG,YSHG                     |D90,D34,D28,D22,D18,D20,D10,SL6,XZ6,SH;
296    |LCJL|XIXLA,SWLA    |XIX     |118<120>,(80-116<114>),(58-60),(56),(44-46),(24-26),126-130<128>,(136-138),126-130<128>,(32),H2-H1                     |,80DG,60DG,56-58DG,46DG,44DG,26/44WG,26DG,24-36DG,126-138DG,128-136DG,32/136WG,32DG,32/H2WG,H2DG,84-110DG,160DG,48DG,SW3JG                     |D90,D34,D28,D22,D18,D20,D10,SL6,XZ6,SW;
297    |LCJL|XVIILA,D18A,SFLA    |XVII     |80-116<114>,(58-60),(56),(44-46),(24-26),126-130<128>,136-138,2-4,(6-8),2-4                     |80DG,60DG,56-58DG,46DG,44DG,26/44WG,26DG,24-36DG,160DG,48DG,126-138DG,8/126WG,2-8DG,4-6DG,IBG,X1LQ                     |D90,D34,D28,D22,D18,D14,D8,D2,SF;
298    |LCJL|XVIILA,BA10A,SLA    |XVII     |80-116<114>,(58-60),(56),44-46,48-50,28-30,(14-16),6-8,(2-4),6-8                     |80DG,60DG,56-58DG,46DG,160DG,48DG,28/48WG,28DG,16DG,14DG,4/14WG,4-6DG,2-8DG,IIBG,S3JG                     |D90,D34,BA10,D66,D16,D44,D42,D12,D6,D4,S;
299    |LCJL|XVIILA,BA10A,SFLA    |XVII     |80-116<114>,(58-60),(56),44-46,48-50,28-30,(14-16),6-8,2-4                     |80DG,60DG,56-58DG,46DG,160DG,48DG,28/48WG,28DG,16DG,14DG,4/14WG,4-6DG,IBG,X1LQ                     |D90,D34,BA10,D66,D16,D44,D42,D12,D6,D2,SF;
300    |LCJL|XVIILA,BA6A,SLA    |XVII     |80-116<114>,(58-60),(56),(44-46),24-26,14-16,6-8,(2-4),6-8                     |80DG,60DG,56-58DG,46DG,44DG,26/44WG,160DG,48DG,14DG,4/14WG,4-6DG,2-8DG,IIBG,S3JG                     |D90,D34,D28,D22,BA6,D12,D6,D4,S;
301    |LCJL|XVIILA,D16A,SLA    |XVII     |80-116<114>,58-60,160-164<162>,(48-50),28-30,(14-16),6-8,(2-4),6-8                     |80DG,60DG,160DG,50DG,48DG,144DG,46DG,28DG,16DG,14DG,4/14WG,4-6DG,2-8DG,IIBG,S3JG                     |D90,D74,D66,D16,D44,D42,D12,D6,D4,S;
302    |LCJL|XVIILA,D16A,SFLA    |XVII     |80-116<114>,58-60,160-164<162>,(48-50),28-30,(14-16),6-8,2-4                     |80DG,60DG,160DG,50DG,48DG,144DG,46DG,28DG,16DG,14DG,4/14WG,4-6DG,IBG,X1LQ                     |D90,D74,D66,D16,D44,D42,D12,D6,D2,SF;
303    |LCJL|XVIILA,BA8A,SLA    |XVII     |80-116<114>,58-60,160-164<162>,48-50,144-148<146>,(172),(28-30),(14-16),6-8,(2-4),6-8                     |80DG,60DG,160DG,50DG,144DG,144/172WG,172DG,30DG,28DG,16DG,14DG,4/14WG,4-6DG,2-8DG,IIBG,90-92DG,S3JG                     |D90,D74,BA8,D62,D58,D54,D44,D42,D12,D6,D4,S;
304    |LCJL|XVIILA,BA8A,SFLA    |XVII     |80-116<114>,58-60,160-164<162>,48-50,144-148<146>,(172),(28-30),(14-16),6-8,2-4                     |80DG,60DG,160DG,50DG,144DG,144/172WG,172DG,30DG,28DG,16DG,14DG,4/14WG,4-6DG,IBG,90-92DG,X1LQ                     |D90,D74,BA8,D62,D58,D54,D44,D42,D12,D6,D2,SF;
305    |LCJL|XVIILA,D58A,SLA    |XVII     |80-116<114>,58-60,160-164<162>,48-50,144-148<146>,(172),(28-30),(14-16),6-8,(2-4),6-8                     |80DG,60DG,160DG,50DG,144DG,172DG,30DG,28DG,16DG,14DG,4/14WG,4-6DG,2-8DG,IIBG,90-92DG,S3JG                     |D90,D74,BA8,D62,D58,D54,D44,D42,D12,D6,D4,S;
306    |LCJL|XVIILA,D58A,SFLA    |XVII     |80-116<114>,58-60,160-164<162>,48-50,144-148<146>,(172),(28-30),(14-16),6-8,2-4                     |80DG,60DG,160DG,50DG,144DG,172DG,30DG,28DG,16DG,14DG,4/14WG,4-6DG,IBG,90-92DG,X1LQ                     |D90,D74,BA8,D62,D58,D54,D44,D42,D12,D6,D2,SF;
307    |LCJL|XVIILA,SWFLA    |XVII     |80-116<114>,58-60,160-164<162>,48-50,144-148<146>,172,92-94,(88-90),92-94,(34),122-124                     |80DG,60DG,160DG,50DG,144DG,144/172WG,172DG,90-92DG,88-94DG,34DG,34/122WG,122DG,XW1LQ                     |D90,D74,BA8,D62,D58,D40,D30,SWF;
308    |LCJL|XVIILA,SL2LA    |XVII     |80-116<114>,58-60,160-164<162>,48-50,144-148<146>,172,92-94,(88-90),92-94,(34),(122-124)                     |80DG,60DG,160DG,50DG,144DG,144/172WG,172DG,90-92DG,88-94DG,34DG,34/122WG,122DG,124DG,124/JF1WG                     |D90,D74,BA8,D62,D58,D40,D30,SL2;
309    |LCJL|XVIILA,SEFLA    |XVII     |80-116<114>,58-60,160-164<162>,48-50,144-148<146>,172,92-94,88-90                     |80DG,60DG,160DG,50DG,144DG,144/172WG,172DG,90-92DG,VIIBG,XF1LQ                     |D90,D74,BA8,D62,D58,D46,SEF;
310    |LCJL|XVIILA,SLA    |XVII     |80-116<114>,(58-60),(56),(44-46),(24-26),126-130<128>,136-138,2-4,6-8                     |80DG,60DG,56-58DG,46DG,44DG,26/44WG,26DG,24-36DG,126-138DG,8/126WG,2-8DG,IIBG,160DG,48DG,S3JG                     |D90,D34,D28,D22,D18,D14,D8,D4,S;
311    |LCJL|XVIILA,SFLA    |XVII     |80-116<114>,(58-60),(56),(44-46),24-26,14-16,6-8,2-4                     |80DG,60DG,56-58DG,46DG,44DG,26/44WG,26DG,14DG,4/14WG,4-6DG,IBG,160DG,48DG,X1LQ                     |D90,D34,D28,D22,BA6,D12,D6,D2,SF;
312    |LCJL|XVIILA,D8A,SFLA    |XVII     |80-116<114>,(58-60),(56),(44-46),(24-26),126-130<128>,136-138,2-4,(6-8),2-4                     |80DG,60DG,56-58DG,46DG,44DG,26/44WG,26DG,24-36DG,126-138DG,160DG,48DG,2-8DG,4-6DG,IBG,X1LQ                     |D90,D34,D28,D22,D18,D14,D8,D2,SF;
313    |LCJL|XVIILA,SL6LA    |XVII     |80-116<114>,(58-60),(56),(44-46),(24-26),126-130<128>,(136-138),126-130<128>,(32)                     |80DG,60DG,56-58DG,46DG,44DG,26/44WG,26DG,24-36DG,126-138DG,128-136DG,32/136WG,32DG,160DG,48DG,32/H2WG                     |D90,D34,D28,D22,D18,D20,D10,SL6;
314    |LCJL|XVIILA,SHLA    |XVII     |80-116<114>,(58-60),(56),(44-46),(24-26),126-130<128>,(136-138),126-130<128>,(32),(H2-H1)                     |80DG,60DG,56-58DG,46DG,44DG,26/44WG,26DG,24-36DG,126-138DG,128-136DG,32/136WG,32DG,32/H2WG,H2DG,H1DG,160DG,48DG,YSHG                     |D90,D34,D28,D22,D18,D20,D10,SL6,XZ6,SH;
315    |LCJL|XVIILA,SWLA    |XVII     |80-116<114>,(58-60),(56),(44-46),(24-26),126-130<128>,(136-138),126-130<128>,(32),H2-H1                     |80DG,60DG,56-58DG,46DG,44DG,26/44WG,26DG,24-36DG,126-138DG,128-136DG,32/136WG,32DG,32/H2WG,H2DG,160DG,48DG,SW3JG                     |D90,D34,D28,D22,D18,D20,D10,SL6,XZ6,SW;
316    |LCJL|X5LA,D18A,SFLA    |X5     |58-60,(56),(44-46),(24-26),126-130<128>,136-138,2-4,(6-8),2-4                     |56-58DG,46DG,44DG,26/44WG,26DG,24-36DG,48DG,126-138DG,8/126WG,2-8DG,4-6DG,IBG,X1LQ                     |D34,D28,D22,D18,D14,D8,D2,SF;
317    |LCJL|X5LA,BA10A,SLA    |X5     |58-60,(56),44-46,48-50,28-30,(14-16),6-8,(2-4),6-8                     |56-58DG,46DG,48DG,28/48WG,28DG,16DG,14DG,4/14WG,4-6DG,2-8DG,IIBG,S3JG                     |D34,BA10,D66,D16,D44,D42,D12,D6,D4,S;
318    |LCJL|X5LA,BA10A,SFLA    |X5     |58-60,(56),44-46,48-50,28-30,(14-16),6-8,2-4                     |56-58DG,46DG,48DG,28/48WG,28DG,16DG,14DG,4/14WG,4-6DG,IBG,X1LQ                     |D34,BA10,D66,D16,D44,D42,D12,D6,D2,SF;
319    |LCJL|X5LA,BA6A,SLA    |X5     |58-60,(56),(44-46),24-26,14-16,6-8,(2-4),6-8                     |56-58DG,46DG,44DG,26/44WG,48DG,14DG,4/14WG,4-6DG,2-8DG,IIBG,S3JG                     |D34,D28,D22,BA6,D12,D6,D4,S;
320    |LCJL|X5LA,D16A,SLA    |X5     |58-60,(56),44-46,48-50,28-30,(14-16),6-8,(2-4),6-8                     |56-58DG,46DG,48DG,28/48WG,28DG,16DG,14DG,4/14WG,4-6DG,2-8DG,IIBG,S3JG                     |D34,BA10,D66,D16,D44,D42,D12,D6,D4,S;
321    |LCJL|X5LA,D16A,SFLA    |X5     |58-60,(56),44-46,48-50,28-30,(14-16),6-8,2-4                     |56-58DG,46DG,48DG,28/48WG,28DG,16DG,14DG,4/14WG,4-6DG,IBG,X1LQ                     |D34,BA10,D66,D16,D44,D42,D12,D6,D2,SF;
322    |LCJL|X5LA,SLA    |X5     |58-60,(56),(44-46),(24-26),126-130<128>,136-138,2-4,6-8                     |56-58DG,46DG,44DG,26/44WG,26DG,24-36DG,126-138DG,8/126WG,2-8DG,IIBG,48DG,S3JG                     |D34,D28,D22,D18,D14,D8,D4,S;
323    |LCJL|X5LA,SFLA    |X5     |58-60,(56),(44-46),24-26,14-16,6-8,2-4                     |56-58DG,46DG,44DG,26/44WG,26DG,14DG,4/14WG,4-6DG,IBG,48DG,X1LQ                     |D34,D28,D22,BA6,D12,D6,D2,SF;
324    |LCJL|X5LA,D8A,SFLA    |X5     |58-60,(56),(44-46),(24-26),126-130<128>,136-138,2-4,(6-8),2-4                     |56-58DG,46DG,44DG,26/44WG,26DG,24-36DG,126-138DG,48DG,2-8DG,4-6DG,IBG,X1LQ                     |D34,D28,D22,D18,D14,D8,D2,SF;
325    |LCJL|X5LA,SL6LA    |X5     |58-60,(56),(44-46),(24-26),126-130<128>,(136-138),126-130<128>,(32)                     |56-58DG,46DG,44DG,26/44WG,26DG,24-36DG,126-138DG,128-136DG,32/136WG,32DG,48DG,32/H2WG                     |D34,D28,D22,D18,D20,D10,SL6;
326    |LCJL|X5LA,SHLA    |X5     |58-60,(56),(44-46),(24-26),126-130<128>,(136-138),126-130<128>,(32),(H2-H1)                     |56-58DG,46DG,44DG,26/44WG,26DG,24-36DG,126-138DG,128-136DG,32/136WG,32DG,32/H2WG,H2DG,H1DG,48DG,YSHG                     |D34,D28,D22,D18,D20,D10,SL6,XZ6,SH;
327    |LCJL|X5LA,SWLA    |X5     |58-60,(56),(44-46),(24-26),126-130<128>,(136-138),126-130<128>,(32),H2-H1                     |56-58DG,46DG,44DG,26/44WG,26DG,24-36DG,126-138DG,128-136DG,32/136WG,32DG,32/H2WG,H2DG,48DG,SW3JG                     |D34,D28,D22,D18,D20,D10,SL6,XZ6,SW;
328    |LCJL|X3LA,D18A,SFLA    |X3     |56,(44-46),(24-26),126-130<128>,136-138,2-4,(6-8),2-4                     |56-58DG,46DG,44DG,26/44WG,26DG,24-36DG,48DG,126-138DG,8/126WG,2-8DG,4-6DG,IBG,X1LQ                     |D34,D28,D22,D18,D14,D8,D2,SF;
329    |LCJL|X3LA,BA10A,SLA    |X3     |56,44-46,48-50,28-30,(14-16),6-8,(2-4),6-8                     |56-58DG,46DG,48DG,28/48WG,28DG,16DG,14DG,4/14WG,4-6DG,2-8DG,IIBG,S3JG                     |D34,BA10,D66,D16,D44,D42,D12,D6,D4,S;
330    |LCJL|X3LA,BA10A,SFLA    |X3     |56,44-46,48-50,28-30,(14-16),6-8,2-4                     |56-58DG,46DG,48DG,28/48WG,28DG,16DG,14DG,4/14WG,4-6DG,IBG,X1LQ                     |D34,BA10,D66,D16,D44,D42,D12,D6,D2,SF;
331    |LCJL|X3LA,BA6A,SLA    |X3     |56,(44-46),24-26,14-16,6-8,(2-4),6-8                     |56-58DG,46DG,44DG,26/44WG,48DG,14DG,4/14WG,4-6DG,2-8DG,IIBG,S3JG                     |D34,D28,D22,BA6,D12,D6,D4,S;
332    |LCJL|X3LA,D16A,SLA    |X3     |56,44-46,48-50,28-30,(14-16),6-8,(2-4),6-8                     |56-58DG,46DG,48DG,28DG,16DG,14DG,4/14WG,4-6DG,2-8DG,IIBG,S3JG                     |D34,BA10,D66,D16,D44,D42,D12,D6,D4,S;
333    |LCJL|X3LA,D16A,SFLA    |X3     |56,44-46,48-50,28-30,(14-16),6-8,2-4                     |56-58DG,46DG,48DG,28/48WG,28DG,16DG,14DG,4/14WG,4-6DG,IBG,X1LQ                     |D34,BA10,D66,D16,D44,D42,D12,D6,D2,SF;
334    |LCJL|X3LA,SLA    |X3     |56,(44-46),(24-26),126-130<128>,136-138,2-4,6-8                     |56-58DG,46DG,44DG,26/44WG,26DG,24-36DG,126-138DG,8/126WG,2-8DG,IIBG,48DG,S3JG                     |D34,D28,D22,D18,D14,D8,D4,S;
335    |LCJL|X3LA,SFLA    |X3     |56,(44-46),24-26,14-16,6-8,2-4                     |56-58DG,46DG,44DG,26/44WG,26DG,14DG,4/14WG,4-6DG,IBG,48DG,X1LQ                     |D34,D28,D22,BA6,D12,D6,D2,SF;
336    |LCJL|X3LA,D8A,SFLA    |X3     |56,(44-46),(24-26),126-130<128>,136-138,2-4,(6-8),2-4                     |56-58DG,46DG,44DG,26/44WG,26DG,24-36DG,126-138DG,32/136WG,2-8DG,4-6DG,IBG,X1LQ                     |D34,D28,D22,D18,D14,D8,D2,SF;
337    |LCJL|X3LA,SL6LA    |X3     |56,(44-46),(24-26),126-130<128>,(136-138),126-130<128>,(32)                     |56-58DG,46DG,44DG,26/44WG,26DG,24-36DG,126-138DG,128-136DG,32/136WG,32DG,48DG,32/H2WG                     |D34,D28,D22,D18,D20,D10,SL6;
